"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price"
"1","Greenlights",NA,"Matthew McConaughey","Matthew McConaughey","6 hrs and 42 mins","10-20-20","English","5 out of 5 stars","7,172 ratings","$28.00"
"2","The Ice Diaries","The Untold Story of the Cold War's Most Daring Mission","Captain William R. Anderson, Don Keith - contributor","Roger Mueller","10 hrs and 1 min","10-15-19","English","5 out of 5 stars","6 ratings","$30.79"
"3","Tiny Habits","The Small Changes That Change Everything","BJ Fogg PhD","BJ Fogg PhD","11 hrs and 22 mins","01-14-20","English","4.5 out of 5 stars","742 ratings","$34.95"
"4","A Time for Mercy","A Jack Brigance Novel","John Grisham","Michael Beck","19 hrs and 59 mins","10-13-20","English","5 out of 5 stars","3,534 ratings","$31.50"
"5","The Sentinel","A Jack Reacher Novel","Lee Child, Andrew Child","Scott Brick","10 hrs and 39 mins","10-27-20","English","4.5 out of 5 stars","1,394 ratings","$31.50"
"6","Clanlands","Whisky, Warfare, and a Scottish Adventure Like No Other","Sam Heughan, Graham McTavish, Diana Gabaldon - foreword","Graham McTavish, Sam Heughan, Diana Gabaldon - foreword","10 hrs and 22 mins","11-03-20","English","5 out of 5 stars","158 ratings","$21.81"
"7","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton","16 hrs","11-24-20","English",NA,"Not rated yet","$35.00"
"8","The Best of Me",NA,"David Sedaris","David Sedaris","13 hrs and 8 mins","11-03-20","English","4 out of 5 stars","15 ratings","$30.79"
"9","A Promised Land",NA,"Barack Obama","Barack Obama","29 hrs and 10 mins","11-17-20","English",NA,"Not rated yet","$45.50"
"10","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear","5 hrs and 35 mins","10-16-18","English","5 out of 5 stars","47,050 ratings","$28.00"
"11","Fortune and Glory","A Novel","Janet Evanovich","Lorelei King","7 hrs and 13 mins","11-03-20","English","4.5 out of 5 stars","188 ratings","$20.99"
"12","Rhythm of War",NA,"Brandon Sanderson","Kate Reading, Michael Kramer","57 hrs and 26 mins","11-17-20","English",NA,"Not rated yet","$66.49"
"13","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick","13 hrs and 37 mins","11-28-18","English","5 out of 5 stars","114,467 ratings","$24.95"
"14","The Guest List","A Novel","Lucy Foley","Jot Davies, Chloe Massey, Olivia Dowd, Aoife McMahon, Sarah Ovens, Rich Keeble","10 hrs and 22 mins","06-02-20","English","4.5 out of 5 stars","11,410 ratings","$30.79"
"15","Our Time Is Now","Power, Purpose, and the Fight for a Fair America","Stacey Abrams","Stacey Abrams","9 hrs and 20 mins","06-09-20","English","5 out of 5 stars","299 ratings","$31.49"
"16","Think Like a Monk","Train Your Mind for Peace and Purpose Every Day","Jay Shetty","Jay Shetty","10 hrs and 54 mins","09-08-20","English","5 out of 5 stars","1,660 ratings","$24.49"
"17","Caste (Oprah's Book Club)","The Origins of Our Discontents","Isabel Wilkerson","Robin Miles","14 hrs and 26 mins","08-04-20","English","5 out of 5 stars","4,071 ratings","$31.50"
"18","Harry Potter and the Sorcerer's Stone, Book 1",NA,"J.K. Rowling","Jim Dale","8 hrs and 18 mins","11-20-15","English","5 out of 5 stars","123,702 ratings","$29.99"
"19","Untamed",NA,"Glennon Doyle","Glennon Doyle","8 hrs and 22 mins","03-10-20","English","4.5 out of 5 stars","17,051 ratings","$31.50"
"20","Where the Crawdads Sing",NA,"Delia Owens","Cassandra Campbell","12 hrs and 12 mins","08-14-18","English","5 out of 5 stars","176,234 ratings","$31.50"
"21","Harry Potter and the Chamber of Secrets, Book 2",NA,"J.K. Rowling","Jim Dale","9 hrs and 3 mins","11-20-15","English","5 out of 5 stars","86,946 ratings","$29.99"
"22","Heaven's River","Bobiverse, Book 4","Dennis E. Taylor","Ray Porter","16 hrs and 57 mins","09-24-20","English","5 out of 5 stars","12,703 ratings","$39.95"
