"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"1","A Promised Land",NA,"Barack Obama","Barack Obama","29 hrs and 10 mins","11-17-20","English",NA,"Not rated yet","$45.50","https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?ref=a_adblbests_c3_lProduct_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"2","Greenlights",NA,"Matthew McConaughey","Matthew McConaughey","6 hrs and 42 mins","10-20-20","English","5 out of 5 stars","11,290 ratings","$28.00","https://www.audible.com/pd/Greenlights-Audiobook/0593294181?ref=a_adblbests_c3_lProduct_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"3","The House Guest",NA,"Mark Edwards","Will M. Watt, Stina Nielsen","8 hrs and 26 mins","06-03-20","English","4 out of 5 stars","326 ratings","$25.19","https://www.audible.com/pd/The-House-Guest-Audiobook/1799771539?ref=a_adblbests_c3_lProduct_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"4","The Law of Innocence",NA,"Michael Connelly","Peter Giles","12 hrs and 27 mins","11-10-20","English","4.5 out of 5 stars","682 ratings","$30.79","https://www.audible.com/pd/The-Law-of-Innocence-Audiobook/1549129007?ref=a_adblbests_c3_lProduct_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"5","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton","16 hrs","11-24-20","English",NA,"Not rated yet","$35.00","https://www.audible.com/pd/Ready-Player-Two-Audiobook/0593396960?ref=a_adblbests_c3_lProduct_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"6","Rhythm of War","The Stormlight Archive, Book 4","Brandon Sanderson","Kate Reading, Michael Kramer","57 hrs and 26 mins","11-17-20","English",NA,"Not rated yet","$66.49","https://www.audible.com/pd/Rhythm-of-War-Audiobook/1250759781?ref=a_adblbests_c3_lProduct_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"7","A Time for Mercy","A Jake Brigance Novel","John Grisham","Michael Beck","19 hrs and 59 mins","10-13-20","English","4.5 out of 5 stars","4,679 ratings","$31.50","https://www.audible.com/pd/A-Time-for-Mercy-Audiobook/0593168550?ref=a_adblbests_c3_lProduct_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"8","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear","5 hrs and 35 mins","10-16-18","English","5 out of 5 stars","47,484 ratings","$28.00","https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?ref=a_adblbests_c3_lProduct_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"9","The Ickabog",NA,"J.K. Rowling","Stephen Fry","7 hrs and 52 mins","11-10-20","English","4.5 out of 5 stars","110 ratings","$24.99","https://www.audible.com/pd/The-Ickabog-Audiobook/B08D9T16JZ?ref=a_adblbests_c3_lProduct_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"10","The New One","Painfully True Stories from a Reluctant Dad","Mike Birbiglia, J. Hope Stein","Mike Birbiglia, J. Hope Stein","5 hrs and 9 mins","05-05-20","English","4.5 out of 5 stars","507 ratings","$29.65","https://www.audible.com/pd/The-New-One-Audiobook/1549126997?ref=a_adblbests_c3_lProduct_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"11","The Sentinel","A Jack Reacher Novel","Lee Child, Andrew Child","Scott Brick","10 hrs and 39 mins","10-27-20","English","4.5 out of 5 stars","2,552 ratings","$31.50","https://www.audible.com/pd/The-Sentinel-Audiobook/059333972X?ref=a_adblbests_c3_lProduct_1_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"12","Clanlands","Whisky, Warfare, and a Scottish Adventure Like No Other","Sam Heughan, Graham McTavish, Diana Gabaldon - foreword","Graham McTavish, Sam Heughan, Diana Gabaldon - foreword","10 hrs and 22 mins","11-03-20","English","5 out of 5 stars","555 ratings","$21.81","https://www.audible.com/pd/Clanlands-Audiobook/1529342015?ref=a_adblbests_c3_lProduct_1_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"13","Becoming",NA,"Michelle Obama","Michelle Obama","19 hrs and 3 mins","11-13-18","English","5 out of 5 stars","156,495 ratings","$35.71","https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S?ref=a_adblbests_c3_lProduct_1_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"14","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick","13 hrs and 37 mins","11-28-18","English","5 out of 5 stars","115,241 ratings","$24.95","https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?ref=a_adblbests_c3_lProduct_1_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"15","Caste (Oprah's Book Club)","The Origins of Our Discontents","Isabel Wilkerson","Robin Miles","14 hrs and 26 mins","08-04-20","English","5 out of 5 stars","4,385 ratings","$31.50","https://www.audible.com/pd/Caste-Oprahs-Book-Club-Audiobook/0593339800?ref=a_adblbests_c3_lProduct_1_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"16","Think Like a Monk","Train Your Mind for Peace and Purpose Every Day","Jay Shetty","Jay Shetty","10 hrs and 54 mins","09-08-20","English","5 out of 5 stars","1,876 ratings","$24.49","https://www.audible.com/pd/Think-Like-a-Monk-Audiobook/1797100548?ref=a_adblbests_c3_lProduct_1_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"17","Harry Potter and the Sorcerer's Stone, Book 1",NA,"J.K. Rowling","Jim Dale","8 hrs and 18 mins","11-20-15","English","5 out of 5 stars","124,237 ratings","$29.99","https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G?ref=a_adblbests_c3_lProduct_1_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"18","Untamed",NA,"Glennon Doyle","Glennon Doyle","8 hrs and 22 mins","03-10-20","English","4.5 out of 5 stars","17,417 ratings","$31.50","https://www.audible.com/pd/Untamed-Audiobook/0593156072?ref=a_adblbests_c3_lProduct_1_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"19","The Guest List","A Novel","Lucy Foley","Jot Davies, Chloe Massey, Olivia Dowd, Aoife McMahon, Sarah Ovens, Rich Keeble","10 hrs and 22 mins","06-02-20","English","4.5 out of 5 stars","11,686 ratings","$30.79","https://www.audible.com/pd/The-Guest-List-Audiobook/0062985051?ref=a_adblbests_c3_lProduct_1_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"20","Where the Crawdads Sing",NA,"Delia Owens","Cassandra Campbell","12 hrs and 12 mins","08-14-18","English","5 out of 5 stars","176,903 ratings","$31.50","https://www.audible.com/pd/Where-the-Crawdads-Sing-Audiobook/B07FSNSLZ1?ref=a_adblbests_c3_lProduct_1_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=Z8ZN8ANMRVYJ93135C6D"
"21","Dr. Sebi Cure for Herpes","A Simple and Effective Guide on How to Naturally Cure the Herpes Virus with Proven Facts to Maximize the Benefits of Dr. Sebi Alkaline Diet","Neal Graham","Russell Newton","4 hrs","10-29-20","English","5 out of 5 stars","50 ratings","$14.95","https://www.audible.com/pd/Dr-Sebi-Cure-for-Herpes-Audiobook/B08M6DSH4T?ref=a_adblbests_c3_lProduct_2_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=VQ6B1NTAJVE5EEA5B7W9"
"22","Midnight Sun",NA,"Stephenie Meyer","Jake Abel","25 hrs and 49 mins","08-04-20","English","4.5 out of 5 stars","12,190 ratings","$34.21","https://www.audible.com/pd/Midnight-Sun-Audiobook/1549134663?ref=a_adblbests_c3_lProduct_2_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=VQ6B1NTAJVE5EEA5B7W9"
"23","The Meaning of Mariah Carey",NA,"Mariah Carey","Mariah Carey","11 hrs and 17 mins","09-29-20","English","5 out of 5 stars","5,454 ratings","$34.95","https://www.audible.com/pd/The-Meaning-of-Mariah-Carey-Audiobook/B08BW1VY1X?ref=a_adblbests_c3_lProduct_2_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=VQ6B1NTAJVE5EEA5B7W9"
