"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"1","A Promised Land","","Barack Obama","Barack Obama",1750,2020-11-17,"English",5,2704,45.5,"https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?ref=a_adblbests_c3_lProduct_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"2","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton",826,2020-11-24,"English",4.5,8065,31.5,"https://www.audible.com/pd/Ready-Player-Two-Audiobook/0593396960?ref=a_adblbests_c3_lProduct_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"3","Greenlights","","Matthew McConaughey","Matthew McConaughey",402,2020-10-20,"English",5,20717,28,"https://www.audible.com/pd/Greenlights-Audiobook/0593294181?ref=a_adblbests_c3_lProduct_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"4","Caste (Oprah's Book Club)","The Origins of Our Discontents","Isabel Wilkerson","Robin Miles",866,2020-08-04,"English",5,5236,31.5,"https://www.audible.com/pd/Caste-Oprahs-Book-Club-Audiobook/0593339800?ref=a_adblbests_c3_lProduct_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"5","A Guy Walks into My Bar","","Lauren Blakely","Shane East, Joe Arden, Full Cast",626,2020-08-17,"English",4.5,1394,24.95,"https://www.audible.com/pd/A-Guy-Walks-into-My-Bar-Audiobook/B08BTLV158?ref=a_adblbests_c3_lProduct_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"6","The Pagan World","Ancient Religions Before Christianity","Hans-Friedrich Mueller, The Great Courses","Hans-Friedrich Mueller",754,2020-02-28,"English",4.5,354,34.95,"https://www.audible.com/pd/The-Pagan-World-Audiobook/1629978590?ref=a_adblbests_c3_lProduct_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"7","Rhythm of War","The Stormlight Archive, Book 4","Brandon Sanderson","Kate Reading, Michael Kramer",3446,2020-11-17,"English",5,3384,66.49,"https://www.audible.com/pd/Rhythm-of-War-Audiobook/1250759781?ref=a_adblbests_c3_lProduct_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"8","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear",335,2018-10-16,"English",5,48627,28,"https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?ref=a_adblbests_c3_lProduct_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"9","The Vanishing Half","A Novel","Brit Bennett","Shayna Small",694,2020-06-02,"English",4.5,7850,31.5,"https://www.audible.com/pd/The-Vanishing-Half-Audiobook/0525637141?ref=a_adblbests_c3_lProduct_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"10","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick",817,2018-11-28,"English",5,117109,24.95,"https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?ref=a_adblbests_c3_lProduct_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"11","Becoming","","Michelle Obama","Michelle Obama",1143,2018-11-13,"English",5,157748,35.71,"https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S?ref=a_adblbests_c3_lProduct_1_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"12","The Sandman","","Neil Gaiman, Dirk Maggs","Riz Ahmed, Kat Dennings, Taron Egerton, Neil Gaiman, James McAvoy, Samantha Morton, Bebe Neuwirth, Andy Serkis, Michael Sheen",654,2020-07-15,"English",4.5,20722,34.95,"https://www.audible.com/pd/The-Sandman-Audiobook/B086WP794Z?ref=a_adblbests_c3_lProduct_1_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"13","Alpha Male Bible","Charisma, Psychology of Attraction, Charm. Art of Confidence, Self-Hypnosis, Meditation. Art of Body Language, Eye Contact, Small Talk. Habits & Self-Discipline of a Real Alpha Man.","Sean Wayne","Perdens Studio, Ross Pipkin",721,2020-07-23,"English",5,118,24.95,"https://www.audible.com/pd/Alpha-Male-Bible-Audiobook/B08DG3QS8B?ref=a_adblbests_c3_lProduct_1_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"14","Harry Potter and the Sorcerer's Stone, Book 1","","J.K. Rowling","Jim Dale",498,2015-11-20,"English",5,125672,29.99,"https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G?ref=a_adblbests_c3_lProduct_1_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"15","The Awakening","The Dragon Heart Legacy, Book 1","Nora Roberts","Barrie Kreinik",927,2020-11-24,"English",5,783,27.99,"https://www.audible.com/pd/The-Awakening-Audiobook/1250770300?ref=a_adblbests_c3_lProduct_1_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"16","A Time for Mercy","A Jake Brigance Novel","John Grisham","Michael Beck",1199,2020-10-13,"English",4.5,6801,31.5,"https://www.audible.com/pd/A-Time-for-Mercy-Audiobook/0593168550?ref=a_adblbests_c3_lProduct_1_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"17","Untamed","","Glennon Doyle","Glennon Doyle",502,2020-03-10,"English",4.5,18293,31.5,"https://www.audible.com/pd/Untamed-Audiobook/0593156072?ref=a_adblbests_c3_lProduct_1_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
"18","12 Rules for Life","An Antidote to Chaos","Jordan B. Peterson, Norman Doidge MD - foreword","Jordan B. Peterson",940,2018-01-23,"English",4.5,62968,36.33,"https://www.audible.com/pd/12-Rules-for-Life-Audiobook/B0797YBP7N?ref=a_adblbests_c3_lProduct_1_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=2GCF70661DCBS13X5ST4"
