"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"1","A Promised Land","","Barack Obama","Barack Obama",1750,2020-11-17,"English",5,4676,45.5,"https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?ref=a_adblbests_c3_lProduct_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"2","Washington's End","The Final Years and Forgotten Struggle","Jonathan Horn","Arthur Morey",494,2020-02-11,"English",4.5,33,17,"https://www.audible.com/pd/Washingtons-End-Audiobook/1797111051?ref=a_adblbests_c3_lProduct_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"3","Greenlights","","Matthew McConaughey","Matthew McConaughey",402,2020-10-20,"English",5,23359,28,"https://www.audible.com/pd/Greenlights-Audiobook/0593294181?ref=a_adblbests_c3_lProduct_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"4","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton",826,2020-11-24,"English",4.5,13169,31.5,"https://www.audible.com/pd/Ready-Player-Two-Audiobook/0593396960?ref=a_adblbests_c3_lProduct_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"5","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear",335,2018-10-16,"English",5,49078,28,"https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?ref=a_adblbests_c3_lProduct_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"6","A Killer's Wife","Desert Plains, Book 1","Victor Methos","Brittany Pressley",561,2020-03-01,"English",4.5,3204,25.19,"https://www.audible.com/pd/A-Killers-Wife-Audiobook/179975006X?ref=a_adblbests_c3_lProduct_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"7","Rhythm of War","The Stormlight Archive, Book 4","Brandon Sanderson","Kate Reading, Michael Kramer",3446,2020-11-17,"English",5,5161,66.49,"https://www.audible.com/pd/Rhythm-of-War-Audiobook/1250759781?ref=a_adblbests_c3_lProduct_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"8","The Tribes","A Novel","Mari Howes","Barrie Kreinik, Piper Goodeve",708,2020-12-10,"English",4.5,25,34.95,"https://www.audible.com/pd/The-Tribes-Audiobook/B08K3J3294?ref=a_adblbests_c3_lProduct_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"9","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick",817,2018-11-28,"English",5,117784,24.95,"https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?ref=a_adblbests_c3_lProduct_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
"10","Caste (Oprah's Book Club)","The Origins of Our Discontents","Isabel Wilkerson","Robin Miles",866,2020-08-04,"English",5,5530,31.5,"https://www.audible.com/pd/Caste-Oprahs-Book-Club-Audiobook/0593339800?ref=a_adblbests_c3_lProduct_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=FHGFT2DZGSYYEYZH51EP"
