"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"1","A Promised Land",NA,"Barack Obama","Barack Obama","29 hrs and 10 mins","11-17-20","English","5 out of 5 stars","1,673 ratings","$45.50","https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?ref=a_adblbests_c3_lProduct_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"2","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton","13 hrs and 46 mins","11-24-20","English","4.5 out of 5 stars","4,066 ratings","$31.50","https://www.audible.com/pd/Ready-Player-Two-Audiobook/0593396960?ref=a_adblbests_c3_lProduct_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"3","Greenlights",NA,"Matthew McConaughey","Matthew McConaughey","6 hrs and 42 mins","10-20-20","English","5 out of 5 stars","18,947 ratings","$28.00","https://www.audible.com/pd/Greenlights-Audiobook/0593294181?ref=a_adblbests_c3_lProduct_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"4","Rhythm of War","The Stormlight Archive, Book 4","Brandon Sanderson","Kate Reading, Michael Kramer","57 hrs and 26 mins","11-17-20","English","5 out of 5 stars","2,225 ratings","$66.49","https://www.audible.com/pd/Rhythm-of-War-Audiobook/1250759781?ref=a_adblbests_c3_lProduct_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"5","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear","5 hrs and 35 mins","10-16-18","English","5 out of 5 stars","48,381 ratings","$28.00","https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?ref=a_adblbests_c3_lProduct_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"6","Find Her Alive: A Gripping Crime Thriller Packed with Mystery and Suspense","Detective Josie Quinn, Book 8","Lisa Regan","Kate Handford","12 hrs and 20 mins","04-15-20","English","4.5 out of 5 stars","410 ratings","$24.95","https://www.audible.com/pd/Find-Her-Alive-A-Gripping-Crime-Thriller-Packed-with-Mystery-and-Suspense-Audiobook/B086R9CKJ7?ref=a_adblbests_c3_lProduct_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"7","American Gods: The Tenth Anniversary Edition (A Full Cast Production)",NA,"Neil Gaiman","Ron McLarty, Daniel Oreskes, full cast","19 hrs and 39 mins","06-21-11","English","4.5 out of 5 stars","53,440 ratings","$42.20","https://www.audible.com/pd/American-Gods-The-Tenth-Anniversary-Edition-A-Full-Cast-Production-Audiobook/B0055274U2?ref=a_adblbests_c3_lProduct_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"8","Becoming",NA,"Michelle Obama","Michelle Obama","19 hrs and 3 mins","11-13-18","English","5 out of 5 stars","157,506 ratings","$35.71","https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S?ref=a_adblbests_c3_lProduct_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"9","Daylight",NA,"David Baldacci","Brittany Pressley, Kyf Brewer","11 hrs and 37 mins","11-17-20","English","4.5 out of 5 stars","1,267 ratings","$30.79","https://www.audible.com/pd/Daylight-Audiobook/1478999322?ref=a_adblbests_c3_lProduct_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"10","The Awakening","The Dragon Heart Legacy, Book 1","Nora Roberts","Barrie Kreinik","15 hrs and 27 mins","11-24-20","English","5 out of 5 stars","389 ratings","$27.99","https://www.audible.com/pd/The-Awakening-Audiobook/1250770300?ref=a_adblbests_c3_lProduct_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"11","Harry Potter and the Sorcerer's Stone, Book 1",NA,"J.K. Rowling","Jim Dale","8 hrs and 18 mins","11-20-15","English","5 out of 5 stars","125,373 ratings","$29.99","https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G?ref=a_adblbests_c3_lProduct_1_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"12","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick","13 hrs and 37 mins","11-28-18","English","5 out of 5 stars","116,666 ratings","$24.95","https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?ref=a_adblbests_c3_lProduct_1_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"13","12 Months to $1 Million","How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur","Ryan Daniel Moran","Ryan Daniel Moran","7 hrs and 38 mins","08-11-20","English","5 out of 5 stars","244 ratings","$19.95","https://www.audible.com/pd/12-Months-to-1-Million-Audiobook/B08F6D4ZPV?ref=a_adblbests_c3_lProduct_1_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"14","12 Rules for Life","An Antidote to Chaos","Jordan B. Peterson, Norman Doidge MD - foreword","Jordan B. Peterson","15 hrs and 40 mins","01-23-18","English","4.5 out of 5 stars","62,820 ratings","$36.33","https://www.audible.com/pd/12-Rules-for-Life-Audiobook/B0797YBP7N?ref=a_adblbests_c3_lProduct_1_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
"15","A Time for Mercy","A Jake Brigance Novel","John Grisham","Michael Beck","19 hrs and 59 mins","10-13-20","English","4.5 out of 5 stars","6,472 ratings","$31.50","https://www.audible.com/pd/A-Time-for-Mercy-Audiobook/0593168550?ref=a_adblbests_c3_lProduct_1_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SVF29Y4EAR6CZFR5ZC01"
